parameter,fmmob,fmdry,epdry,krw0,krg0,swc,sgc,nw,ng,muw,mug,rhow,rhog
case1,1.80E+004,0.268,1.00E+005,0.2,0.94,0.1,0.05,2,1.8,6.50E-004,5.00E-005,985,100
case2,2.50E+004,0.29,1.00E+005,0.2,0.94,0.1,0.05,4.2,1.3,1.00E-003,2.00E-005,985,100
case3,2.50E+004,0.29,1.00E+004,0.2,0.94,0.1,0.05,4.2,1.3,1.00E-003,2.00E-005,985,100
case4,2.50E+004,0.29,1.00E+002,0.2,0.94,0.1,0.05,4.2,1.3,1.00E-003,2.00E-005,985,100
